Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
Algenist,Secrets of Algae Kit,['A trio of Algenist bestsellers featuring products formulated with patented alguronic acid.   '],['- Loss of firmness and elasticity- Fine lines and wrinkles- Dark circles and puffiness'], Unlock the Secrets of Algae for visible skin transformation in 10 days. This trio of Algenist bestsellers features products formulated with patented alguronic acid a naturally occurring compound from algae that is naturally-sourced and sustainably produced. Skin appears nourished and radiant skin resiliency and bounce are visibly restored and fine lines and the appearance of deep wrinkles are visibly minimized.   Genius Liquid Collagen contains the highest concentration of plant collagen for skin that appears firmer and more toned. Genius Ultimate Anti-Aging Cream helps visibly restore skin resiliency and elasticity. The ophthalmologist-tested Complete Eye Renewal Balm decreases the appearance of puffiness and dark circles.   ,,https://www.sephora.com/product/secrets-algae-kit-P436142?icid2=products%20grid:p436142:product
Algenist,GENIUS Liquid Collagen,A vegan collagen-based formula to maintain skin’s youthful vitality. ,['- Loss of firmness and elasticity- Dullness and uneven texture'],This breakthrough fountain of youth leverages a clean vegan formulation design to help replenish and preserve a healthy youthful skin matrix by delivering vegan collagen to the skin in its most active state. The anti-aging formula contains 13000 microalgae oil beads naturally sourced and sustainably produced omegas 3 6 and 9 and a natural source of vitamin E. Skin is left more resilient brighter and youthful-looking.   ,,https://www.sephora.com/product/genius-liquid-collagen-P421277?icid2=products%20grid:p421277:product
Algenist,GENIUS Ultimate Anti-Aging Cream, An advanced antiaging moisturizer that visibly firms lifts combats deep wrinkles brightens and nourishes the face. ,['- Fine lines and wrinkles- Dryness- Loss of firmness and elasticity'], The ultra-nourishing and luxurious GENIUS Ultimate Anti-Aging Cream is a potent face cream that infuses skin with top-of-the-line biotechnology to combat advanced signs of aging. The blend of actives features alguronic acid plant collagen and microalgae oil to visibly brighten hydrate firm lift improve elasticity and smooth fine lines and wrinkles for a youthful glow.,,https://www.sephora.com/product/genius-ultimate-anti-aging-cream-P384537?icid2=products%20grid:p384537:product
Algenist,GENIUS Liquid Collagen Lip,A vegan collagen lip treatment to deliver long-lasting benefits for fuller younger-looking lips in as few as 10 days.,[], This unique dual-phase lip treatment suspends botanical lip enhancers and hundreds of beads of microalgae oil in collagen water to help visibly fill out lips and improve lip definition with long-lasting benefits. Formulated with active plant collagen and Algenist's naturally sourced and sustainably produced Alguronic Acid this formula helps smooth the appearance of fine lines and wrinkles on the lips and mouth area for a youthful more enhanced appearance.,,https://www.sephora.com/product/genius-liquid-collagen-lip-P432045?icid2=products%20grid:p432045:product
Algenist,Complete Eye Renewal Balm,An eye balm designed to prime minimize the appearance of fine lines and wrinkles hydrate and soothe with alguronic acid vitamin C caffeine cucumber aloe and green tea extracts.,['- Fine lines and wrinkles- Dark circles- Puffiness'],Complete Eye Renewal Balm is truly a multitasking product designed to prime minimize the appearance of fine lines and wrinkles hydrate soothe and nourish the delicate eye area. This rich cream provides antiaging benefits diminishes the appearance of puffiness and dark circles and preps the eye area for smoother longer-lasting makeup application. Alguronic acid combined with vitamin C caffeine cucumber aloe and green tea extracts help nourish and hydrate the eye area for a recharged and rejuvenated appearance. ,,https://www.sephora.com/product/complete-eye-renewal-balm-P282938?icid2=products%20grid:p282938:product
Algenist,Overnight Restorative Cream,[],[],[],,https://www.sephora.com/product/overnight-restorative-cream-P296415?icid2=products%20grid:p296415:product
Algenist,GENIUS Ultimate Anti-Aging Vitamin C+ Serum,['A powerful serum formulated to minimize the appearance of deep wrinkles and to support the most fragile skin areas while visibly reducing the look of age spots and discoloration.'],['- Dullness and uneven texture- Dark spots and uneven skin tone- Fine lines and wrinkles'], This powerful formula combines Alguronic acid—a breakthrough antiaging ingredient—with nourishing microalgae oil and a potent vitamin C derivative to help visibly minimize fine lines and wrinkles and reduce the appearance of age spots and discoloration. The most fragile skin texture appears strengthened and skin's youthful even radiance is revealed.,,https://www.sephora.com/product/genius-ultimate-anti-aging-vitamin-c-serum-P392945?icid2=products%20grid:p392945:product
Algenist,Regenerative Anti-Aging Moisturizer SPF 20,[],[],[],,https://www.sephora.com/product/regenerative-anti-aging-moisturizer-spf-20-P282937?icid2=products%20grid:p282937:product
Algenist,SUBLIME DEFENSE Ultra Lightweight UV Defense Fluid SPF 50,[],[],[],,https://www.sephora.com/product/sublime-defense-ultra-lightweight-uv-defense-fluid-spf-50-P311143?icid2=products%20grid:p311143:product
Algenist,POWER Recharging Night Pressed Serum,A highly concentrated solid serum to regenerate smooth and recharge in as little as 10 days.,['- Fine lines and wrinkles- Dullness and uneven texture- Dryness'],This highly concentrated solid serum delivers potent actives overnight for a youthful-looking glowing complexion in the morning. Supercharged with patented alguronic acid a powerful antiaging ingredient and fortified by algaprotein and nutrient-rich coconut water this hybrid pressed serum addresses the first visible signs of aging by recharging fatigued skin visibly reducing fine lines and wrinkles and refining dull uneven texture. This unique formula breaks into a serum on application and melts into the skin to provide a smooth supple and radiant complexion in as little as 10 days. ,,https://www.sephora.com/product/power-recharging-night-pressed-serum-P416552?icid2=products%20grid:p416552:product
