Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
Algenist,Secrets of Algae Kit,['A trio of Algenist bestsellers featuring products formulated with patented alguronic acid.   '],['- Loss of firmness and elasticity- Fine lines and wrinkles- Dark circles and puffiness'], Unlock the Secrets of Algae for visible skin transformation in 10 days. This trio of Algenist bestsellers features products formulated with patented alguronic acid a naturally occurring compound from algae that is naturally-sourced and sustainably produced. Skin appears nourished and radiant skin resiliency and bounce are visibly restored and fine lines and the appearance of deep wrinkles are visibly minimized.   Genius Liquid Collagen contains the highest concentration of plant collagen for skin that appears firmer and more toned. Genius Ultimate Anti-Aging Cream helps visibly restore skin resiliency and elasticity. The ophthalmologist-tested Complete Eye Renewal Balm decreases the appearance of puffiness and dark circles.   ,,https://www.sephora.com/product/secrets-algae-kit-P436142?icid2=products%20grid:p436142:product
Algenist,GENIUS Liquid Collagen,A vegan collagen-based formula to maintain skin’s youthful vitality. ,['- Loss of firmness and elasticity- Dullness and uneven texture'],This breakthrough fountain of youth leverages a clean vegan formulation design to help replenish and preserve a healthy youthful skin matrix by delivering vegan collagen to the skin in its most active state. The anti-aging formula contains 13000 microalgae oil beads naturally sourced and sustainably produced omegas 3 6 and 9 and a natural source of vitamin E. Skin is left more resilient brighter and youthful-looking.   ,"-Patented Alguronic Acid: Clinically demonstrated to provide anti-aging and anti-wrinkle benefits.,-Microalgae Oil: Hydrates, nourishes, and visibly restores skin's radiance.,-Vegan Plant Collagen: Helps to strengthen and condition the skin to visibly improve resiliency and bounce.,-Collagen Amino Acids: Provides building blocks of protein to help support skin's matrix.,,Collagen, Water, Propanediol, Isononyl Isononanoate, Butylene Glycol, Glycerin, Betaine, Pentylene Glycol, Dextrin Palmitate, Collagen Amino Acids, Parachlorella Beijerinckii Exopolysaccharides, Chlorella Protothecoides Oil, Helichrysum Stoechas Extract, Cylindrotheca Fusiformis Extract, Niacinamide, Tocopherol, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Adenosine, Helianthus Annuus (Sunflower) Seed Oil, Leuconostoc/Radish Root Ferment Filtrate, Caprylic/Capric Triglyceride, Palmitic Acid, Disodium EDTA, Carbomer, Sodium Lactate, Amodimethicone, Homosalate, Polysorbate 20, Butyl Methoxydibenzoylmethane, 1,2-Hexanediol, Caprylyl Glycol, Octocrylene, Sodium Hydroxide, Phenoxyethanol, Fragrance (Parfum), Limonene, Beta-Carotene (CI 75130).",https://www.sephora.com/product/genius-liquid-collagen-P421277?icid2=products%20grid:p421277:product
Algenist,GENIUS Liquid Collagen Lip,A vegan collagen lip treatment to deliver long-lasting benefits for fuller younger-looking lips in as few as 10 days.,[], This unique dual-phase lip treatment suspends botanical lip enhancers and hundreds of beads of microalgae oil in collagen water to help visibly fill out lips and improve lip definition with long-lasting benefits. Formulated with active plant collagen and Algenist's naturally sourced and sustainably produced Alguronic Acid this formula helps smooth the appearance of fine lines and wrinkles on the lips and mouth area for a youthful more enhanced appearance.,"-Vegan plant collagen: Creates the look of fuller, smoother lips.,-Patented Alguronic Acid: Provides anti-aging and anti-wrinkle benefits.,-Botanical Lip Enhancers: Visibly plump and fill lines as well as improve lip definition,-Microalgae Oil Beads: Help replenish moisture,,Collagen, Water, Glycerin, Isononyl Isononanoate, Limnanthes Alba (Meadowfoam) Seed Oil, Dextrin Palmitate, Pentylene Glycol, Diglycerin, Propanediol, Menthoxypropanediol, Collagen Amino Acids, Parachlorella Beijerinckii Exopolysaccharides, Chlorella Protothecoides Oil, Acmella Oleracea Extract, Brassica Alba Sprout Extract, Helianthus Annuus (Sunflower) Seed Oil, Hydroxymethoxyphenyl Propylmethylmethoxybenzofuran, Adenosine, Tocopherol, Leuconostoc/ Radish Root Ferment Filtrate, Methyl Gluceth-20, Carbomer, Palmitic Acid, Sodium Hydroxide, Disodium EDTA, Amodimethicone, Butyl Methoxydibenzoylmethane, Homosalate, Octocrylene, Sorbic Acid, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Stevia Rebaudiana Extract, Aroma, Benzyl Benzoate, Beta-Carotene (CI 40800).",https://www.sephora.com/product/genius-liquid-collagen-lip-P432045?icid2=products%20grid:p432045:product
Algenist,Complete Eye Renewal Balm,An eye balm designed to prime minimize the appearance of fine lines and wrinkles hydrate and soothe with alguronic acid vitamin C caffeine cucumber aloe and green tea extracts.,['- Fine lines and wrinkles- Dark circles- Puffiness'],Complete Eye Renewal Balm is truly a multitasking product designed to prime minimize the appearance of fine lines and wrinkles hydrate soothe and nourish the delicate eye area. This rich cream provides antiaging benefits diminishes the appearance of puffiness and dark circles and preps the eye area for smoother longer-lasting makeup application. Alguronic acid combined with vitamin C caffeine cucumber aloe and green tea extracts help nourish and hydrate the eye area for a recharged and rejuvenated appearance. ,"['Water, Stearic Acid, Isopropyl Isostearate, Glycerin, Dimethicone, Pentylene Glycol, Glyceryl Stearate SE, Dimethicone Crosspolymer, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, Undaria Pinnatifida Extract, Limnanthes Alba (Meadowfoam) Seed Oil, Algae Exopolysacharides, Alaria Esculenta Extract, Bambusa Vulgaris (Bamboo) Leaf/Stem Extract, Aloe Barbadensis Leaf Juice, Aloe Barbadensis Leaf Juice Powder, Camellia Sinensis (Green Tea) Leaf Extract, Cucumis Sativus (Cucumber) Fruit Extract, Tocopheryl Acetate, Caffeine, Tetrapeptide-21, Dipeptide-2, Palmitoyl Tetrapeptide-7, Palmitoyl Oligopeptide, Magnesium Ascorbyl Phosphate, Malus Domestica Fruit (Apple) Cell Culture Extract, Rubus Idaeus (Raspberry) Leaf Extract, Glucosamine HCL, Pisum Sativum (Pea) Extract, Inula Crithmoide Extract, Phospholipids, N-Hydroxysuccinimide, Chrysin, Hesperidin Methyl Chalcone, Lecithin, Caprylic/Capric Triglyceride, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Steareth-20, Ceteareth-20, Butylene Glycol, Xanthan Gum, Disodium EDTA, Aminomethyl Propanol, Potassium Sorbate, Chlorhexidine Digluconate, Caprylyl Glycol, Hexylene Glycol, Ethylhexylglycerin, Phenoxyethanol.']",https://www.sephora.com/product/complete-eye-renewal-balm-P282938?icid2=products%20grid:p282938:product
Algenist,GENIUS Ultimate Anti-Aging Cream, An advanced antiaging moisturizer that visibly firms lifts combats deep wrinkles brightens and nourishes the face. ,['- Fine lines and wrinkles- Dryness- Loss of firmness and elasticity'], The ultra-nourishing and luxurious GENIUS Ultimate Anti-Aging Cream is a potent face cream that infuses skin with top-of-the-line biotechnology to combat advanced signs of aging. The blend of actives features alguronic acid plant collagen and microalgae oil to visibly brighten hydrate firm lift improve elasticity and smooth fine lines and wrinkles for a youthful glow.,"-Patented Alguronic Acid: Supports the appearance of smoother, firmer skin.,-Patent-pending Microalgae Oil: Supports natural skin cell repair and nurtures skin for a softer look.,-Plant-derived Collagen: Gives skin a firmer, more lifted appearance.,,Water, Caprylic/Capric Triglyceride, Hydrogentated Polyisobutene, Glycerin, Chlorella Protothecoides Oil, Dimethicone, Butylene Glycol, Glyceryl Stearate, PEG-100 Stearate, Butyrospermum Parkii (Shea) Butter, Pentylene Glycol, Potassium Cetyl Phosphate, Algae Exopolysaccharides, Vegetable Collagen, Ceramide 3, Cynara Scrolymus (Artichoke) Leaf Extract, Retinyl Palmitate, Astragalus Membranaceous Root Extract, Atractyloides Macrocephala Root Extract, Iris Florentina Root Extract, Bupleurum Falcatum Root Extract, Methyl Glucoside Phosphate Proline Lysine Copper Complex, Stearalkonium Bentonite, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Silica, Caprylyl Glycol, Sodium Hydroxide, Disodium EDTA, Ethylhexylglycerin, Cetyl Alcohol, Propylene Carbonate, Phenoxyethanol, Leuconostoc/Radish Root Ferment Filtrate, Chlorphenesin, Fragrance, Coumarin.",https://www.sephora.com/product/genius-ultimate-anti-aging-cream-P384537?icid2=products%20grid:p384537:product
Algenist,SUBLIME DEFENSE Ultra Lightweight UV Defense Fluid SPF 50,An ultra-sheer weightless fluid for everyday protection against broad-spectrum UVA/UVB damage.,[],[],"-Octinoxate 7.5%: Sunscreen.,-Titanium Dioxide 2%: Sunscreen.,-Zinc Oxide 17.1%: Sunscreen.,,Cyclopentasiloxane, Water, Alcohol Denat., Glycerin, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Methyl Methacrylate Crosspolymer, PEG/PPG-18/18 Dimethicone, Algae Exopolysaccharides, Echinacea Purpurea Extract, Tocopheryl Acetate, Camellia Oleifera Leaf Extract, Arctostaphylos Uva Ursi Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, PEG-9 Polydimethylsiloxyethyl Dimethicone, Stearic Acid, Triethoxysilylethyl Polydimethylsiloxyethyl Hexyl Dimethicone, Ethylhexylglycerin, Caprylyl Glycol, Aluminum Hydroxide, Phenoxyethanol, Hexylene Glycol, Fragrance.",https://www.sephora.com/product/sublime-defense-ultra-lightweight-uv-defense-fluid-spf-50-P311143?icid2=products%20grid:p311143:product
Algenist,POWER Advanced Wrinkle Fighter 360° Eye Serum,['An advanced antiaging eye serum formulated with alguronic acid and algaprotein to address the first signs of aging.'],['- Loss of firmness and elasticity- Dark circles- Fine lines and wrinkles'], This potent formula gives the upper eyelid a more lifted look diminishes the appearance of dark circles and visibly minimizes crow’s feet. The eye area is appears visibly smoother plumper and strengthened for a youthful and brighter appearance.,"['Water, Dimethicone, Isododecane, Glycerin, Butylene Glycol, Polysilicone-11, Isohexadecane, Pentylene Glycol, Algae Exopolysaccharides, Chlorella Protothecoides, Plantago Lanceolata Leaf Extract, Darutoside, Polygonum Bistorta Root Extract, Nannochloropsis Oculata Extract, Albizia Julibrissin Bark Extract, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, N-Hydroxysuccinimide, Chrysin, Mica, Adenosine, Ammonium Polyacryloyldimethyl Taurate, Polysorbate 20, Polysorbate 80, Pullulan, Tocopheryl Acetate, Steareth-20, Disodium EDTA, Chlorhexidine Digluconate, Citric Acid, Sodium Hydroxide, Xanthan Gum, Ethylhexylglycerin, Hexylene Glycol, Caprylyl Glycol, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol.']",https://www.sephora.com/product/power-advanced-wrinkle-fighter-360-eye-serum-P404169?icid2=products%20grid:p404169:product
Algenist,GENIUS Ultimate Anti-Aging Eye Cream, An antiaging eye cream that visibly firms lifts combats fine lines and wrinkles brightens and nourishes the delicate eye area. ,['- Dark circles- Fine lines and wrinkles- Loss of elasticity'], The GENIUS Ultimate Anti-Aging Eye Cream is a potent antiaging blend of actives for brighter younger-looking eyes. Powered by alguronic acid plant collagen persian silk tree extract and kigelia africana fruit extract this creamy treatment visibly firms and lifts the upper eyelid improves elasticity and smooths fine lines and wrinkles around the eye area. The eyes are given a hydrated conditioned wide-eyed look. ,"-Alguronic Acid: Combats fine lines and wrinkles and brightens the skin as a scientifically tested, patented regenerative compound produced from microalgae.,-Microalgae Oil: Hydrates five times longer than untreated skin for up to 24 hours.,-Plant Collagen: Hydrates and conditions the skin as a vegetable source of collagen for a more youthful glow.,-Persian Silk Tree Extract: Creates a lifted appearance, targeting the upper eyelid as a naturally derived extract.,,Water, Caprylic/Capric Triglyceride, Glycerin, Butyrospermum Parkii (Shea) Butter, Hydrogenated Polyisobutene, Chlorella Protothecoides Oil, Dimethicone, Glyceryl Stearate, PEG-100 Stearate, Cetearyl Alcohol, Cetyl Alcohol, Pentylene Glycol, Silica, Algae Exopolysaccharides, Vegetable Collagen, Algae Extract, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7, Copper Lysine Prolinate, Methyl Glucoside Phosphate, Albiza Julibrissin Bark Extract, Kigelia Africana Fruit Extract, Plantago Lanceolata Leaf Extract, Chrysin, Darutoside, Sodium PCA, Leuconostoc/Radish Root Ferment Filtrate, Stearic Acid, Ceteareth-20, Caprylyl Glycol, Steareth-20, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Sodium Benzoate, Potassium Sorbate, Xanthan Gum, Chlorhexidine Digluconate, N-Hydroxysuccinimide, Chlorphenesin, Sodium Citrate, Disodium EDTA, Citric Acid, Sodium Hydroxide, Phenoxyethanol.",https://www.sephora.com/product/genius-ultimate-anti-aging-eye-cream-P388262?icid2=products%20grid:p388262:product
Algenist,POWER Recharging Night Pressed Serum,A highly concentrated solid serum to regenerate smooth and recharge in as little as 10 days.,['- Fine lines and wrinkles- Dullness and uneven texture- Dryness'],This highly concentrated solid serum delivers potent actives overnight for a youthful-looking glowing complexion in the morning. Supercharged with patented alguronic acid a powerful antiaging ingredient and fortified by algaprotein and nutrient-rich coconut water this hybrid pressed serum addresses the first visible signs of aging by recharging fatigued skin visibly reducing fine lines and wrinkles and refining dull uneven texture. This unique formula breaks into a serum on application and melts into the skin to provide a smooth supple and radiant complexion in as little as 10 days. ,"-Alguronic Acid: Reduces the appearance of fine lines and wrinkles, as well as brightens the overall appearance of the skin.,-Algaprotein: Visibly improves skin's firmness and elasticity while improving the appearance of skin's overall texture and suppleness.,-Coconut Water: Highly concentrated water packed with essential amino acids, antioxidants, and phytonutrients.,-Ribose: Helps improve skin firmness, smoothness, and suppleness, making skin appear revitalized and less dull.,,Cocos Nucifera (Coconut) Water, Water (Aqua, Eau), Dimethicone, Glycerin, Methyl Trimethicone, Butylene Glycol, Ceresin, Cyclopentasiloxane, Ozokerite, Parachlorella Beijerinckii Exopolysaccharides, Chlorella Protothecoides, Algin, Hydrolyzed F-Fucoidan, Tripleurospermum Maritimum Extract, Camellia Sinensis Leaf Extract, Palmitoyl Hexapeptide-52, Passiflora Incarnata Extract, Ribose, Collagen, Bidens Pilosa Extract, Linum Usitatissimum (Linseed) Seed Oil, Adenosine, Elaeis Guineensis (Palm) Oil, Gossypium Herbaceum (Cotton) Seed Oil, Tocopherol, Biosaccharide Gum-4, Alpha-Glucan Oligosaccharide, BHT, Citric Acid, Leuconostoc/Radish Root Ferment Filtrate, Dimethicone/Vinyl Dimethicone Crosspolymer, Dimethicone/PEG-10/15 Crosspolymer, Dipropylene Glycol, Sodium Chloride, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Propanediol, Sodium Citrate, Caprylyl Glycol, Chlorphenesin, Potassium Sorbate, Sodium Benzoate, Benzyl Alcohol, Dehydroacetic Acid, Phenoxyethanol, Fragrance (Parfum), Butylphenyl Methylpropional, Hexyl Cinnamal.",https://www.sephora.com/product/power-recharging-night-pressed-serum-P416552?icid2=products%20grid:p416552:product
Algenist,Overnight Restorative Cream,[],[],[],"-Alguronic Acid: Supports natural cell regeneration and elastin synthesis.,-Vitamins C and E: Visibly boosts skin radiance.,-Peptides: Helps support natural collagen to strengthen skin structure.,-Crithmum Maritimum Extract: Nutures natural cell renewal to increase skin density.,,Water, Isopropyl Isostearate, Butyrospermum Parkii Butter (Butyrospermum Parkii (Shea Butter)), Glycerin, Stearic Acid, Squalane, Butylene Glycol, Dimethicone, Glyceryl Stearate SE, Cetearyl Alcohol, Dimethicone Crosspolymer, Ascorbyl Glucoside, Pentylene Glycol, Algae Exopolysaccharides, Algae Extract, Tocopheryl Acetate, Citrullus Vulgaris Fruit Extract (Citrullus Vulgaris (Watermelon) Fruit Extract), Lens Esculenta Fruit Extract (Lens Esculenta (Lentil) Fruit Extract), Oleanolic Acid, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7, Pyrus Malus Fruit Extract (Pyrus Malus (Apple) Fruit Extract), Enantia Chlorantha Bark Extract, Crithmum Maritimum Extract, Silybum Marianum Seed Oil, Caprylic/Capric Triglyceride, Ceteareth-20, Dimethicone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Hydroxide, Caprylyl Glycol, Hydrogenated Vegetable Oil, Hexylene Glycol, Phenoxyethanol, Disodium EDTA, Fragrance, Sodium PCA, Carbomer, Polysorbate 20, Sodium Lactate, Ethylhexylglycerin.",https://www.sephora.com/product/overnight-restorative-cream-P296415?icid2=products%20grid:p296415:product
